cleaner__getlemmatisation,cleaner__removedigit,rfc__max_depth,rfc__min_samples_leaf,rfc__min_samples_split,rfc__n_estimators,tfidf__lowercase,tfidf__stop_words,accuracy
False,True,30,1,5,500,False,,0.4466666666666667
False,True,30,1,5,500,False,english,0.4466666666666667
False,False,30,2,10,500,True,english,0.4466666666666667
True,False,25,1,15,500,False,english,0.4466666666666667
True,True,30,2,15,1200,False,,0.4466666666666667
True,True,30,2,10,500,False,english,0.4466666666666667
True,True,25,1,5,1200,False,english,0.4466666666666667
False,True,25,2,5,500,False,,0.4466666666666667
False,False,25,1,5,500,False,english,0.4466666666666667
True,False,30,1,10,500,True,,0.4466666666666666
True,False,25,2,5,500,True,english,0.4466666666666666
True,False,30,2,10,1200,False,english,0.4466666666666666
True,False,30,2,10,500,False,english,0.4466666666666666
False,True,25,1,10,500,True,english,0.4466666666666666
True,False,30,2,5,500,False,,0.4466666666666666
False,False,25,2,15,1200,False,,0.445
True,True,30,1,5,500,False,english,0.445
False,True,30,2,10,500,True,english,0.445
False,True,25,2,5,500,True,english,0.445
True,False,30,2,15,1200,True,,0.445
True,True,25,1,5,500,False,english,0.445
True,False,25,2,15,500,True,english,0.445
False,False,25,1,5,500,True,english,0.445
True,False,25,2,10,500,False,english,0.445
False,False,30,1,10,1200,True,english,0.445
False,True,30,2,10,1200,False,,0.445
False,False,30,1,15,500,False,english,0.445
True,False,30,2,10,500,True,,0.445
True,True,30,1,5,1200,False,,0.44333333333333336
False,False,30,1,15,1200,True,english,0.44333333333333336
True,False,30,2,10,500,False,,0.44333333333333336
True,True,25,1,10,1200,True,,0.44333333333333336
True,True,25,2,10,1200,True,english,0.44333333333333336
False,True,30,1,10,500,False,english,0.44333333333333336
True,False,25,1,10,1200,False,english,0.44333333333333336
False,False,25,2,5,1200,True,english,0.44333333333333336
True,True,25,2,5,1200,True,english,0.44333333333333336
True,True,30,2,10,500,False,,0.44333333333333336
True,False,25,2,10,1200,False,english,0.44333333333333336
False,False,25,1,15,1200,False,english,0.44333333333333336
True,True,30,1,10,500,True,english,0.44333333333333336
False,True,30,2,15,1200,True,english,0.4433333333333333
True,True,30,1,15,500,True,,0.4433333333333333
True,True,30,2,15,1200,False,english,0.4433333333333333
True,True,30,1,15,500,False,english,0.4433333333333333
True,False,30,2,15,500,True,english,0.4433333333333333
True,True,25,1,15,1200,True,english,0.4433333333333333
True,True,30,1,10,1200,False,english,0.4433333333333333
True,False,30,1,15,500,True,,0.4433333333333333
True,True,25,1,15,500,True,,0.4416666666666667
False,False,25,2,10,500,False,,0.44166666666666665
False,True,25,1,5,500,True,,0.44166666666666665
True,False,30,2,15,500,False,,0.44166666666666665
True,False,30,2,15,500,False,english,0.44166666666666665
False,False,25,2,10,1200,True,english,0.44166666666666665
True,True,25,1,10,500,True,,0.44166666666666665
True,True,30,2,5,500,False,english,0.44166666666666665
True,True,30,2,5,1200,False,english,0.44166666666666665
False,False,30,1,5,1200,True,english,0.44166666666666665
True,False,30,1,5,1200,False,,0.44166666666666665
True,True,25,2,10,1200,False,,0.44166666666666665
True,True,25,2,15,500,True,english,0.44166666666666665
False,True,25,2,15,1200,True,english,0.44166666666666665
True,False,30,1,10,1200,False,english,0.44
True,True,25,2,10,1200,False,english,0.44
False,False,30,2,15,500,True,,0.44
False,False,30,1,15,500,True,english,0.44
True,False,25,1,5,500,True,english,0.44
False,False,25,2,15,1200,True,english,0.44
False,False,30,1,10,500,False,,0.43999999999999995
True,True,30,1,5,500,False,,0.43999999999999995
False,False,25,1,15,1200,True,english,0.4383333333333333
False,False,25,2,5,500,True,,0.4383333333333333
True,True,25,2,5,1200,True,,0.4383333333333333
False,True,30,1,15,1200,True,english,0.4383333333333333
True,False,30,2,5,500,False,english,0.4383333333333333
True,False,30,1,5,1200,True,english,0.4383333333333333
True,False,30,1,10,500,True,english,0.4383333333333333
True,False,25,2,15,500,False,english,0.4383333333333333
False,True,30,2,5,1200,True,english,0.4383333333333333
False,False,30,2,15,500,True,english,0.4383333333333333
True,False,25,1,10,500,False,english,0.4383333333333333
False,True,25,1,5,1200,False,english,0.4383333333333333
False,False,25,1,5,1200,True,english,0.4383333333333333
False,False,30,2,15,500,False,english,0.4366666666666667
True,True,25,2,15,500,False,english,0.4366666666666667
True,True,25,2,5,500,True,english,0.4366666666666667
False,False,30,1,5,500,False,english,0.4366666666666667
False,True,30,1,5,1200,True,english,0.4366666666666667
True,False,30,1,10,1200,True,english,0.4366666666666667
False,True,25,2,10,500,True,english,0.4366666666666667
False,True,30,1,15,500,True,english,0.4366666666666667
True,True,25,2,10,500,False,english,0.4366666666666667
True,False,25,1,5,500,False,english,0.4366666666666667
False,False,30,1,5,1200,False,english,0.4366666666666667
True,False,25,2,10,500,True,english,0.4366666666666667
True,True,25,2,5,1200,False,english,0.4366666666666667
True,False,25,1,15,500,True,english,0.4366666666666667
True,False,25,1,10,1200,True,english,0.4366666666666667
False,False,25,1,15,500,True,,0.4366666666666667
True,True,25,2,10,500,True,english,0.4366666666666667
True,False,25,1,10,500,True,english,0.4366666666666667
False,False,30,2,10,1200,True,english,0.4366666666666666
True,False,30,2,5,1200,True,english,0.4366666666666666
True,False,25,2,15,1200,True,english,0.43500000000000005
True,False,25,2,10,1200,True,english,0.43500000000000005
False,False,30,1,15,500,False,,0.43500000000000005
True,True,25,1,5,1200,True,english,0.435
True,True,25,2,15,1200,True,english,0.435
False,True,25,1,10,500,False,english,0.435
True,True,30,1,5,500,True,english,0.435
True,False,25,1,15,1200,False,english,0.435
False,True,30,1,5,500,True,english,0.435
True,False,25,1,5,1200,True,english,0.435
False,True,25,1,15,1200,True,english,0.435
True,False,30,1,15,1200,False,english,0.435
True,True,30,2,10,500,True,english,0.435
False,True,25,2,15,500,False,,0.435
True,False,25,2,5,500,False,english,0.43333333333333335
False,True,25,1,10,500,True,,0.43333333333333335
True,True,30,2,10,1200,True,english,0.43333333333333335
True,True,25,1,10,500,False,english,0.43333333333333335
False,True,25,1,5,500,False,,0.43333333333333335
True,True,30,1,5,1200,True,english,0.43333333333333335
True,True,25,1,15,500,False,english,0.43333333333333335
True,True,30,1,5,500,True,,0.4333333333333333
False,True,30,1,15,500,False,,0.43166666666666664
False,True,30,1,10,500,True,english,0.43166666666666664
True,True,30,2,15,1200,True,english,0.43166666666666664
True,True,30,1,15,1200,True,english,0.43166666666666664
True,True,30,1,10,1200,True,english,0.43166666666666664
False,False,30,1,5,500,True,english,0.43166666666666664
True,True,25,1,10,1200,False,english,0.43166666666666664
False,False,25,1,10,1200,True,english,0.43
True,False,25,1,10,500,True,,0.43
True,False,30,1,5,500,False,english,0.43
True,True,25,1,10,500,True,english,0.43
True,False,30,1,5,500,True,english,0.43
True,False,25,2,5,1200,True,english,0.42999999999999994
True,True,30,1,15,500,True,english,0.4283333333333334
True,False,30,2,15,1200,True,english,0.4283333333333334
False,True,30,1,10,1200,True,english,0.4283333333333333
False,True,25,2,15,500,True,english,0.4283333333333333
True,False,25,2,5,1200,False,english,0.4283333333333333
True,True,30,2,15,500,True,english,0.4266666666666667
False,False,30,1,10,500,True,,0.4266666666666667
False,False,25,1,15,500,True,english,0.4266666666666667
True,False,30,1,15,1200,True,english,0.425
True,False,30,2,10,1200,True,english,0.425
True,False,30,1,15,500,True,english,0.425
False,True,30,2,10,1200,True,english,0.425
True,True,25,1,5,500,True,english,0.42333333333333334
True,True,25,1,10,1200,True,english,0.4216666666666667
True,False,25,1,15,1200,True,english,0.4216666666666667
True,False,30,2,10,500,True,english,0.4216666666666667
False,False,30,1,10,500,True,english,0.42
True,True,30,2,5,500,True,english,0.42
False,True,30,2,15,500,True,english,0.4166666666666667
True,True,25,1,15,500,True,english,0.4166666666666667
