cleaner__getlemmatisation,cleaner__removedigit,lr__C,lr__penalty,lr__solver,tfidf__lowercase,tfidf__stop_words,accuracy
False,False,1.0,l2,lbfgs,True,english,0.4366666666666667
True,True,0.1,l2,liblinear,False,english,0.4366666666666667
False,False,0.1,l2,liblinear,True,,0.4366666666666667
False,False,1.0,l2,newton-cg,True,english,0.4366666666666667
False,True,10.0,l2,lbfgs,True,english,0.43500000000000005
False,True,10.0,l2,newton-cg,True,english,0.43500000000000005
False,True,1.0,l2,lbfgs,True,english,0.43500000000000005
True,False,0.1,l2,newton-cg,False,,0.43500000000000005
True,False,0.1,l2,lbfgs,False,,0.43500000000000005
False,False,100.0,l2,lbfgs,True,english,0.43500000000000005
False,False,100.0,l2,newton-cg,True,english,0.43500000000000005
False,False,1.0,l2,liblinear,False,english,0.43500000000000005
False,True,1.0,l2,newton-cg,True,english,0.43500000000000005
True,False,10.0,l2,liblinear,True,english,0.435
True,True,0.1,l2,liblinear,False,,0.43333333333333335
False,False,0.01,l2,lbfgs,False,english,0.43333333333333335
False,True,1.0,l2,liblinear,True,english,0.43333333333333335
True,False,10.0,l2,newton-cg,True,english,0.43333333333333335
True,False,10.0,l2,lbfgs,True,english,0.43333333333333335
True,False,1.0,l2,liblinear,False,english,0.43333333333333335
True,True,10.0,l2,lbfgs,True,english,0.43333333333333335
False,False,0.01,l2,newton-cg,False,english,0.43333333333333335
True,True,10.0,l2,newton-cg,True,english,0.43333333333333335
False,True,0.01,l2,newton-cg,False,english,0.4333333333333333
False,True,0.01,l2,lbfgs,False,english,0.4333333333333333
True,True,1.0,l2,liblinear,False,english,0.4333333333333333
False,True,0.1,l2,liblinear,False,english,0.4333333333333333
True,False,0.1,l2,liblinear,False,,0.4333333333333333
True,True,1.0,l2,liblinear,True,english,0.43166666666666664
False,False,1.0,l2,liblinear,True,english,0.43166666666666664
True,False,0.1,l2,liblinear,False,english,0.43166666666666664
True,False,0.01,l2,newton-cg,False,,0.43166666666666664
True,False,1.0,l2,newton-cg,True,english,0.43166666666666664
True,False,0.01,l2,lbfgs,False,,0.43166666666666664
False,True,0.1,l2,liblinear,True,,0.43166666666666664
True,True,0.01,l2,liblinear,True,english,0.43166666666666664
True,False,1.0,l2,lbfgs,True,english,0.43166666666666664
False,False,100.0,l2,liblinear,True,english,0.43166666666666664
True,False,100.0,l2,liblinear,True,english,0.43
False,False,0.1,l2,liblinear,True,english,0.43
False,False,0.1,l2,liblinear,False,english,0.43
True,False,0.1,l2,lbfgs,False,english,0.43
True,False,0.1,l2,newton-cg,False,english,0.43
True,True,10.0,l2,liblinear,True,english,0.43
False,False,0.1,l2,lbfgs,True,english,0.4283333333333334
False,False,0.1,l2,newton-cg,True,english,0.4283333333333334
True,False,1.0,l2,liblinear,True,english,0.4283333333333334
True,True,0.1,l2,lbfgs,True,english,0.4283333333333334
True,False,100.0,l2,lbfgs,True,english,0.4283333333333334
False,True,0.1,l2,newton-cg,False,english,0.4283333333333334
True,True,0.1,l2,newton-cg,True,english,0.4283333333333334
True,False,100.0,l2,newton-cg,True,english,0.4283333333333334
False,True,0.1,l2,lbfgs,False,english,0.4283333333333334
False,True,0.1,l2,liblinear,True,english,0.4283333333333334
True,False,0.1,l2,lbfgs,True,english,0.4266666666666667
False,False,0.01,l2,newton-cg,True,english,0.4266666666666667
True,False,0.1,l2,newton-cg,True,english,0.4266666666666667
True,True,0.01,l2,newton-cg,False,english,0.4266666666666667
True,True,0.01,l2,lbfgs,False,english,0.4266666666666667
True,True,100.0,l2,liblinear,True,english,0.4266666666666667
False,False,0.01,l2,lbfgs,True,english,0.4266666666666667
True,False,0.1,l2,liblinear,True,english,0.4266666666666666
True,False,0.01,l2,lbfgs,False,english,0.425
True,False,0.01,l2,newton-cg,False,english,0.425
True,True,0.1,l2,liblinear,True,english,0.425
True,True,100.0,l2,newton-cg,True,english,0.42333333333333334
