cleaner__getlemmatisation,cleaner__removedigit,lr__C,lr__penalty,lr__solver,tfidf__lowercase,tfidf__stop_words,accuracy
False,False,0.1,l2,liblinear,True,,0.6900583217948487
True,True,0.1,l2,liblinear,False,english,0.6890932849016682
False,True,0.1,l2,lbfgs,True,english,0.688086289882697
False,True,0.1,l2,newton-cg,True,english,0.688086289882697
False,True,0.1,l2,liblinear,True,english,0.6880832928737121
True,False,0.1,l2,liblinear,True,,0.6880653108198018
False,True,0.1,l2,newton-cg,False,,0.68606930283577
False,True,0.1,l2,lbfgs,False,,0.68606930283577
True,True,0.1,l2,liblinear,True,,0.686066305826785
True,False,0.01,l2,liblinear,False,english,0.6850772928617239
False,True,0.01,l2,liblinear,True,english,0.6850623078167989
False,False,0.1,l2,lbfgs,True,english,0.6820892749036461
False,False,0.1,l2,newton-cg,True,english,0.6820892749036461
False,False,0.1,l2,liblinear,True,english,0.6820862778946611
False,False,0.01,l2,liblinear,True,english,0.6820623018227808
True,False,0.1,l2,liblinear,False,english,0.6810912709116302
False,True,0.01,l2,newton-cg,False,english,0.6800962639285993
False,True,0.01,l2,lbfgs,False,english,0.6800962639285993
False,False,0.1,l2,newton-cg,False,,0.680078281874689
False,False,0.1,l2,lbfgs,False,,0.680078281874689
False,False,0.01,l2,liblinear,False,,0.6790203377029723
True,False,0.1,l2,liblinear,True,english,0.6780912649176122
False,True,0.1,l2,newton-cg,True,,0.6780642918367469
False,True,0.1,l2,lbfgs,True,,0.6780642918367469
False,True,0.01,l2,liblinear,False,,0.6780193367019715
True,True,0.1,l2,lbfgs,False,english,0.6770932609255963
True,True,0.1,l2,newton-cg,False,english,0.6770932609255963
True,True,0.01,l2,liblinear,False,,0.6770183357009705
True,False,0.01,l2,liblinear,False,,0.6770183357009705
False,False,0.01,l2,lbfgs,False,english,0.6761012509515503
False,False,0.01,l2,newton-cg,False,english,0.6761012509515503
True,True,0.1,l2,lbfgs,True,english,0.6760952569335803
True,True,0.1,l2,newton-cg,True,english,0.6760952569335803
False,False,0.1,l2,lbfgs,True,,0.67606528684373
False,False,0.1,l2,newton-cg,True,,0.67606528684373
True,False,0.01,l2,liblinear,True,english,0.67606528684373
True,True,0.1,l2,liblinear,True,english,0.6750882619146092
True,True,0.01,l2,liblinear,True,english,0.6750612888337439
False,False,0.01,l2,liblinear,True,,0.6750163336989684
True,False,0.1,l2,newton-cg,True,english,0.6730952509395624
True,False,0.1,l2,lbfgs,True,english,0.6730952509395624
True,False,0.1,l2,newton-cg,False,english,0.6730922539305774
True,False,0.1,l2,lbfgs,False,english,0.6730922539305774
True,True,0.1,l2,newton-cg,True,,0.673068277858697
True,True,0.1,l2,lbfgs,True,,0.673068277858697
False,True,0.01,l2,liblinear,True,,0.6730143316969665
False,True,0.01,l2,newton-cg,False,,0.6720792648936361
False,True,0.01,l2,lbfgs,False,,0.6720792648936361
True,True,0.01,l2,liblinear,True,,0.6720163277049505
True,False,0.01,l2,liblinear,True,,0.6720073366779954
False,True,0.01,l2,newton-cg,True,,0.6710872549195903
False,True,0.01,l2,lbfgs,True,,0.6710872549195903
False,False,0.01,l2,lbfgs,True,,0.6700832569096041
False,False,0.01,l2,newton-cg,True,,0.6700832569096041
False,False,0.01,l2,lbfgs,False,,0.6700802599006191
False,False,0.01,l2,newton-cg,False,,0.6700802599006191
True,False,0.1,l2,lbfgs,False,,0.6690912469355582
True,True,0.1,l2,newton-cg,False,,0.6690792588996182
True,True,0.1,l2,lbfgs,False,,0.6690792588996182
True,False,0.1,l2,newton-cg,False,,0.6680902459345573
True,False,0.1,l2,lbfgs,True,,0.6680752608896321
True,False,0.1,l2,newton-cg,True,,0.6680752608896321
True,False,0.01,l2,lbfgs,False,,0.6641072209934484
True,False,0.01,l2,newton-cg,False,,0.6641072209934484
True,True,0.01,l2,lbfgs,False,,0.6640982299664935
True,True,0.01,l2,newton-cg,False,,0.6640982299664935
True,False,0.01,l2,newton-cg,False,english,0.6620992249734764
True,False,0.01,l2,lbfgs,False,english,0.6620992249734764
True,True,0.01,l2,newton-cg,True,,0.6620842399285513
True,True,0.01,l2,lbfgs,True,,0.6620842399285513
True,True,0.01,l2,newton-cg,False,english,0.6611042179904456
True,True,0.01,l2,lbfgs,False,english,0.6611042179904456
True,False,0.01,l2,newton-cg,True,,0.6610802419185653
True,False,0.01,l2,lbfgs,True,,0.6610802419185653
False,True,0.01,l2,newton-cg,True,english,0.6590782399165632
False,True,0.01,l2,lbfgs,True,english,0.6590782399165632
False,False,0.01,l2,lbfgs,True,english,0.6540792289295282
False,False,0.01,l2,newton-cg,True,english,0.6540792289295282
True,True,0.01,l2,newton-cg,True,english,0.6480912049774324
True,True,0.01,l2,lbfgs,True,english,0.6480912049774324
True,False,0.01,l2,lbfgs,True,english,0.6440931949913985
True,False,0.01,l2,newton-cg,True,english,0.6440931949913985
