cleaner__getlemmatisation,cleaner__removedigit,mnb__alpha,mnb__fit_prior,mnb__force_alpha,tfidf__lowercase,tfidf__stop_words,accuracy
False,True,0.9,True,True,True,,0.49404761904761907
True,True,0.9,False,True,False,english,0.49404761904761907
False,True,1.3,True,False,True,,0.4928571428571429
True,True,1.5,False,True,False,english,0.4928571428571429
True,True,1.3,True,False,True,english,0.4928571428571429
False,True,1.3,True,True,True,,0.4928571428571429
True,True,1.5,False,False,False,english,0.4928571428571429
False,True,1.1,False,False,True,,0.4928571428571429
True,True,1.3,False,True,True,english,0.4928571428571429
True,True,1.3,True,True,True,english,0.4928571428571429
False,True,1.1,False,True,True,,0.4928571428571429
False,True,1.1,True,False,True,,0.4928571428571429
True,True,1.5,True,False,False,english,0.4928571428571429
True,True,1.3,False,False,True,english,0.4928571428571429
False,True,1.1,True,True,True,,0.4928571428571429
True,True,1.5,True,True,False,english,0.4928571428571429
False,True,1.3,False,True,True,,0.4928571428571429
True,True,1.1,False,False,False,english,0.4928571428571429
True,False,1.3,True,False,True,english,0.4928571428571429
False,True,1.3,False,False,True,,0.4928571428571429
True,True,1.1,False,True,False,english,0.4928571428571429
True,False,1.3,True,True,True,english,0.4928571428571429
True,False,1.3,False,True,True,english,0.4928571428571429
True,False,1.3,False,False,True,english,0.4928571428571429
False,False,0.5,True,True,False,,0.4928571428571429
True,True,1.1,True,False,False,english,0.4928571428571429
True,False,1.5,True,True,False,english,0.4928571428571429
False,False,0.5,True,False,False,,0.4928571428571429
True,True,1.1,True,True,False,english,0.4928571428571429
True,False,1.5,True,False,False,english,0.4928571428571429
False,False,0.5,False,True,False,,0.4928571428571429
True,False,1.5,False,True,False,english,0.4928571428571429
False,False,0.5,False,False,False,,0.4928571428571429
True,False,1.5,False,False,False,english,0.4928571428571429
True,False,1.1,False,True,True,english,0.4916666666666667
True,True,1.3,False,False,False,english,0.4916666666666667
True,False,1.1,True,True,True,english,0.4916666666666667
True,False,0.7,False,False,True,english,0.4916666666666667
True,False,0.7,False,True,True,english,0.4916666666666667
True,True,1.3,False,True,False,english,0.4916666666666667
True,False,1.1,True,False,True,english,0.4916666666666667
True,False,0.7,True,False,True,english,0.4916666666666667
True,True,0.5,True,False,True,,0.4916666666666667
True,True,0.5,True,True,True,,0.4916666666666667
True,False,1.1,False,False,True,english,0.4916666666666667
True,True,1.3,True,False,False,english,0.4916666666666667
True,False,0.7,True,True,True,english,0.4916666666666667
True,False,0.5,True,True,True,english,0.4916666666666667
True,False,0.5,True,True,True,,0.4916666666666667
True,True,0.5,False,True,True,,0.4916666666666667
True,False,0.5,True,False,True,english,0.4916666666666667
True,False,0.5,True,False,True,,0.4916666666666667
True,False,0.5,False,True,True,english,0.4916666666666667
True,False,0.5,False,True,True,,0.4916666666666667
True,True,1.3,True,True,False,english,0.4916666666666667
True,False,0.5,False,False,True,english,0.4916666666666667
True,False,0.5,False,False,True,,0.4916666666666667
True,True,0.5,False,False,True,,0.4916666666666667
True,True,1.5,True,True,True,english,0.4904761904761905
True,False,0.7,True,True,True,,0.4904761904761905
True,False,0.9,False,False,True,english,0.4904761904761905
True,False,0.7,True,False,True,,0.4904761904761905
True,True,1.5,False,False,True,english,0.4904761904761905
True,False,0.9,True,True,True,english,0.4904761904761905
True,False,0.9,False,True,True,english,0.4904761904761905
True,True,1.5,True,False,True,english,0.4904761904761905
True,False,0.7,False,True,True,,0.4904761904761905
True,False,0.9,True,False,True,english,0.4904761904761905
True,False,0.7,False,False,True,,0.4904761904761905
True,True,1.5,False,True,True,english,0.4904761904761905
False,False,1.1,True,True,True,,0.49047619047619045
False,False,1.1,False,False,True,,0.49047619047619045
False,False,1.1,True,False,True,,0.49047619047619045
False,False,1.1,False,True,True,,0.49047619047619045
False,False,1.3,False,True,True,,0.4892857142857143
False,False,1.3,True,True,True,,0.4892857142857143
False,False,1.3,False,False,True,,0.4892857142857143
False,False,1.3,True,False,True,,0.4892857142857143
True,True,0.9,False,False,True,,0.4880952380952381
False,False,1.5,False,False,True,,0.4880952380952381
False,False,1.5,True,True,True,,0.4880952380952381
False,False,1.5,True,False,True,,0.4880952380952381
True,True,0.9,False,True,True,,0.4880952380952381
True,True,0.9,True,True,True,,0.4880952380952381
False,False,1.5,False,True,True,,0.4880952380952381
True,True,0.9,True,False,True,,0.4880952380952381
False,True,0.7,True,True,False,,0.48690476190476195
False,True,0.7,True,False,False,,0.48690476190476195
False,True,0.7,False,True,False,,0.48690476190476195
False,True,0.7,False,False,False,,0.48690476190476195
True,True,0.7,False,True,True,,0.48690476190476195
True,True,0.7,False,False,True,,0.48690476190476195
True,True,0.7,True,True,True,,0.48690476190476195
True,True,0.7,True,False,True,,0.48690476190476195
False,False,0.7,False,False,False,,0.4845238095238096
False,False,0.7,True,False,False,,0.4845238095238096
False,False,0.7,False,True,False,,0.4845238095238096
False,False,0.7,True,True,False,,0.4845238095238096
True,False,0.9,True,False,True,,0.48333333333333334
True,False,0.9,False,True,True,,0.48333333333333334
True,True,0.5,True,True,False,,0.48333333333333334
True,False,0.9,True,True,True,,0.48333333333333334
True,False,0.9,False,False,True,,0.48333333333333334
False,True,1.5,False,True,True,,0.48333333333333334
False,True,1.5,False,False,True,,0.48333333333333334
False,True,1.5,True,False,True,,0.48333333333333334
True,False,0.5,True,False,False,,0.48333333333333334
True,True,0.5,False,False,False,,0.48333333333333334
True,True,0.5,False,True,False,,0.48333333333333334
False,True,1.5,True,True,True,,0.48333333333333334
True,False,0.5,False,True,False,,0.48333333333333334
True,True,0.5,True,False,False,,0.48333333333333334
True,False,0.5,True,True,False,,0.48333333333333334
True,False,0.5,False,False,False,,0.48333333333333334
True,True,1.1,False,True,True,,0.48095238095238096
True,False,0.7,False,False,False,,0.48095238095238096
True,True,1.1,True,False,True,,0.48095238095238096
True,True,1.1,False,False,True,,0.48095238095238096
True,False,0.7,False,True,False,,0.48095238095238096
True,False,0.7,True,True,False,,0.48095238095238096
True,True,1.1,True,True,True,,0.48095238095238096
True,False,0.7,True,False,False,,0.48095238095238096
True,True,0.7,True,False,False,,0.4785714285714286
False,True,0.9,True,True,False,,0.4785714285714286
False,True,0.9,False,False,False,,0.4785714285714286
True,True,0.7,False,False,False,,0.4785714285714286
True,True,0.7,True,True,False,,0.4785714285714286
True,True,0.7,False,True,False,,0.4785714285714286
False,True,0.9,True,False,False,,0.4785714285714286
False,True,0.9,False,True,False,,0.4785714285714286
True,False,1.1,True,True,True,,0.4761904761904762
False,False,0.9,False,True,False,,0.4761904761904762
True,False,1.1,True,False,True,,0.4761904761904762
False,False,0.9,True,False,False,,0.4761904761904762
False,False,0.9,True,True,False,,0.4761904761904762
True,False,1.1,False,True,True,,0.4761904761904762
True,False,1.1,False,False,True,,0.4761904761904762
False,False,0.9,False,False,False,,0.4761904761904762
True,False,1.3,True,True,True,,0.47500000000000003
True,False,1.3,False,False,True,,0.47500000000000003
True,False,1.3,False,True,True,,0.47500000000000003
True,False,1.3,True,False,True,,0.47500000000000003
True,True,1.5,True,False,True,,0.4749999999999999
True,True,1.5,False,True,True,,0.4749999999999999
True,True,1.5,False,False,True,,0.4749999999999999
True,True,1.5,True,True,True,,0.4749999999999999
True,True,1.3,False,True,True,,0.47380952380952385
True,True,1.3,True,False,True,,0.47380952380952385
True,True,1.3,True,True,True,,0.47380952380952385
True,True,1.3,False,False,True,,0.47380952380952385
True,False,0.9,True,True,False,,0.47380952380952374
True,False,0.9,True,False,False,,0.47380952380952374
True,False,0.9,False,False,False,,0.47380952380952374
True,False,0.9,False,True,False,,0.47380952380952374
True,False,1.5,True,False,True,,0.47261904761904766
True,False,1.5,True,True,True,,0.47261904761904766
True,False,1.5,False,True,True,,0.47261904761904766
True,False,1.5,False,False,True,,0.47261904761904766
False,True,1.1,True,False,False,,0.47261904761904755
False,True,1.1,True,True,False,,0.47261904761904755
False,True,1.1,False,True,False,,0.47261904761904755
False,True,1.1,False,False,False,,0.47261904761904755
False,False,1.1,True,False,False,,0.4666666666666666
True,True,0.9,False,True,False,,0.4666666666666666
True,True,0.9,False,False,False,,0.4666666666666666
True,True,0.9,True,False,False,,0.4666666666666666
False,False,1.1,False,False,False,,0.4666666666666666
False,False,1.1,False,True,False,,0.4666666666666666
True,True,0.9,True,True,False,,0.4666666666666666
False,False,1.1,True,True,False,,0.4666666666666666
False,True,1.3,True,True,False,,0.46547619047619043
False,True,1.3,True,False,False,,0.46547619047619043
False,True,1.3,False,True,False,,0.46547619047619043
False,True,1.3,False,False,False,,0.46547619047619043
True,True,1.1,True,False,False,,0.46428571428571425
True,True,1.1,False,False,False,,0.46428571428571425
True,True,1.1,True,True,False,,0.46428571428571425
True,True,1.1,False,True,False,,0.46428571428571425
True,False,1.1,True,True,False,,0.46309523809523806
True,False,1.1,True,False,False,,0.46309523809523806
False,False,1.5,True,False,False,,0.46309523809523806
True,False,1.1,False,True,False,,0.46309523809523806
True,False,1.1,False,False,False,,0.46309523809523806
False,False,1.5,True,True,False,,0.46309523809523806
False,False,1.5,False,True,False,,0.46309523809523806
False,False,1.5,False,False,False,,0.46309523809523806
False,False,1.3,False,True,False,,0.4619047619047619
False,False,1.3,False,False,False,,0.4619047619047619
False,False,1.3,True,True,False,,0.4619047619047619
False,False,1.3,True,False,False,,0.4619047619047619
False,True,1.5,False,False,False,,0.4607142857142857
False,True,1.5,False,True,False,,0.4607142857142857
False,True,1.5,True,False,False,,0.4607142857142857
False,True,1.5,True,True,False,,0.4607142857142857
True,True,1.3,False,True,False,,0.45714285714285713
True,True,1.3,True,True,False,,0.45714285714285713
True,True,1.3,True,False,False,,0.45714285714285713
True,True,1.3,False,False,False,,0.45714285714285713
True,False,1.3,True,True,False,,0.45476190476190476
True,False,1.3,False,False,False,,0.45476190476190476
True,False,1.3,False,True,False,,0.45476190476190476
True,False,1.3,True,False,False,,0.45476190476190476
True,True,1.5,True,True,False,,0.4511904761904762
True,True,1.5,True,False,False,,0.4511904761904762
True,True,1.5,False,True,False,,0.4511904761904762
True,True,1.5,False,False,False,,0.4511904761904762
True,False,1.5,True,True,False,,0.44880952380952377
True,False,1.5,False,False,False,,0.44880952380952377
True,False,1.5,True,False,False,,0.44880952380952377
True,False,1.5,False,True,False,,0.44880952380952377
